filename,transcript,language,speaker_id,duration,timestamp
kinyarwanda_user_20260519_122456_1.wav,Muraho neza.,kinyarwanda,user,4.99,2026-05-19T12:24:56.217058
kinyarwanda_user_20260519_122507_2.wav,Mwaramutse neza.,kinyarwanda,user,4.99,2026-05-19T12:25:07.160863
kinyarwanda_user_20260519_122517_3.wav,Habari yako?,kinyarwanda,user,4.99,2026-05-19T12:25:17.151030
kinyarwanda_user_20260519_122527_4.wav,Nzi neza.,kinyarwanda,user,4.99,2026-05-19T12:25:27.415728
kinyarwanda_user_20260519_122536_5.wav,Mwakunze.,kinyarwanda,user,4.99,2026-05-19T12:25:36.533448
kinyarwanda_user_20260519_122548_6.wav,Ndagukunda ibitabo.,kinyarwanda,user,4.99,2026-05-19T12:25:48.809163
kinyarwanda_user_20260519_122559_7.wav,Nshaka gusoma.,kinyarwanda,user,4.99,2026-05-19T12:25:59.385526
kinyarwanda_user_20260519_122609_8.wav,Soma igitabo.,kinyarwanda,user,4.99,2026-05-19T12:26:09.572902
kinyarwanda_user_20260519_122620_9.wav,Fungura isomero.,kinyarwanda,user,4.99,2026-05-19T12:26:20.002796
kinyarwanda_user_20260519_122641_10.wav,Reka ntubuke inkuru.,kinyarwanda,user,4.99,2026-05-19T12:26:41.781579
kinyarwanda_user_20260519_122652_11.wav,Iki gitabo nkabyo.,kinyarwanda,user,4.99,2026-05-19T12:26:52.660849
kinyarwanda_user_20260519_122701_12.wav,Igitabo.,kinyarwanda,user,4.99,2026-05-19T12:27:01.701233
kinyarwanda_user_20260519_122711_13.wav,Soma.,kinyarwanda,user,4.99,2026-05-19T12:27:11.541093
kinyarwanda_user_20260519_122721_14.wav,Categori.,kinyarwanda,user,4.99,2026-05-19T12:27:21.675083
kinyarwanda_user_20260519_122730_15.wav,Ubuhinzi.,kinyarwanda,user,4.99,2026-05-19T12:27:30.590410
kinyarwanda_user_20260519_122739_16.wav,Ubuvuzi.,kinyarwanda,user,4.99,2026-05-19T12:27:39.822643
kinyarwanda_user_20260519_122749_17.wav,Amateka.,kinyarwanda,user,4.99,2026-05-19T12:27:49.251658
kinyarwanda_user_20260519_122759_18.wav,Amasomo.,kinyarwanda,user,4.99,2026-05-19T12:27:59.107678
kinyarwanda_user_20260519_122809_19.wav,Igihembe.,kinyarwanda,user,4.99,2026-05-19T12:28:09.879518
kinyarwanda_user_20260519_122826_20.wav,Umuziki.,kinyarwanda,user,4.99,2026-05-19T12:28:26.883308
kinyarwanda_user_20260519_122837_21.wav,Siporo.,kinyarwanda,user,4.99,2026-05-19T12:28:37.680099
kinyarwanda_user_20260519_122848_22.wav,Ni ikihe kigero?,kinyarwanda,user,4.99,2026-05-19T12:28:48.385561
kinyarwanda_user_20260519_122859_23.wav,Umezute gake?,kinyarwanda,user,4.99,2026-05-19T12:28:59.271123
kinyarwanda_user_20260519_122915_24.wav,Komeza.,kinyarwanda,user,4.99,2026-05-19T12:29:15.047106
kinyarwanda_user_20260519_122924_25.wav,Subira inyuma.,kinyarwanda,user,4.99,2026-05-19T12:29:24.345250
kinyarwanda_user_20260519_122936_26.wav,Nyuma.,kinyarwanda,user,4.99,2026-05-19T12:29:36.468330
kinyarwanda_user_20260519_123121_27.wav,Nsomera.,kinyarwanda,user,4.99,2026-05-19T12:31:21.111273
kinyarwanda_user_20260519_123131_28.wav,Hindura mukinyarwanda.,kinyarwanda,user,4.99,2026-05-19T12:31:31.754305
kinyarwanda_user_20260519_123141_29.wav,Hindura mucyongereza.,kinyarwanda,user,4.99,2026-05-19T12:31:41.201843
kinyarwanda_user_20260519_123150_30.wav,Mpindurira.,kinyarwanda,user,4.99,2026-05-19T12:31:50.187828
kinyarwanda_user_20260519_123159_31.wav,Komeza gusoma.,kinyarwanda,user,4.99,2026-05-19T12:32:00.001370
kinyarwanda_user_20260519_123208_32.wav,Gushaka.,kinyarwanda,user,4.99,2026-05-19T12:32:08.657846
kinyarwanda_user_20260519_123218_33.wav,Tegeka.,kinyarwanda,user,4.99,2026-05-19T12:32:18.596982
kinyarwanda_user_20260519_123435_34.wav,Humeka.,kinyarwanda,user,4.99,2026-05-19T12:34:35.880943
